,jw_entity_id,id,title,poster,description,release_year,type,imdb_popularity,tmdb_popularity,imdb_score,imdb_votes,tmdb_score,imdb_id,tmdb_id,genre_ids,age_certification,runtime,production_countries,seasons,streaming_app
673,ts88585,88585,Robot Carnival,/poster/131036146/{profile},"An anthology of various tales with robots being the one common element among them. It consists of nine shorts by different well-known directors, many of whom started out as animators with little to no directing experience. Each has a distinctive animation style and story ranging from comedic to dramatic story lines.",1987.0,show,,1.655,,,5.3,,87055,[14],,19.0,['JP'],1,Crunchyroll
674,ts51294,51294,Soul Hunter,/poster/138529884/{profile},"Thousands of years ago, it was a time of witchcraft and dark magic. An evil sorceress has bewitched the emperor of the mighty dynasty and he has become a mindless puppet. The country is in shambles and evil spirits lurk everywhere. The human world is on the verge of utter destruction. A bold mission is planned by the Confederation of the Immortal Masters. They send a young master wizard to hung down the villains and evil warlocks in the devastated lands.",1999.0,show,,2.804,7.5,100.0,,tt0320964,27067,"[3, 2, 14, 1, 7]",TV-14,23.0,['JP'],1,Crunchyroll
675,ts86256,86256,Psychic Princess,/poster/173342882/{profile},"Qian Yunxi, the oldest daughter of the prime minister was born with a special ability. Because of this she was deemed 'abnormal' and was raised at Mt. Lin Yun. Upon turning 16, she took her younger sister's place to marry into the royal family of Ye. Rumors say Ye Youming is strange, cold and cruel. Just how will Qian Yunxi's fate play out?

(Source: Baka-Updates Manga)",2018.0,show,,6.956,7.9,245.0,8.5,tt11038886,97250,"[2, 3, 6, 13]",,18.0,['CN'],1,Crunchyroll
676,ts75926,75926,Comical Psychosomatic Medicine,/poster/145566508/{profile},"Have issues with depression, erectile disfunction, dementia, or even with your love life? Don't worry, as the psychologist Ryou and his nurse Asuna will seriously try to help you understand these mental disorders all while laughing!",2015.0,show,,2.368,6.2,40.0,8.0,tt10787030,74251,"[2, 3]",,5.0,['JP'],1,Crunchyroll
677,ts218796,218796,Ex-Arm,/poster/192475912/{profile},2014: Akira Natsume seems to almost have a phobia of electrical devices while also being very good at diagnosing them. He resolves to change himself for the better and get a girlfriend like his older brother did. …But then Akira suddenly dies in an accident. 16 years later a special policewoman and her android partner retrieve and activate a highly advanced AI and superweapon called EX-ARM and put it into full control of their ship as a last resort. Turns out the AI is actually just Akira’s brain!,2021.0,show,4356.0,18.222,1.8,790.0,4.7,tt12384506,92401,"[1, 14, 2, 4, 13]",TV-14,23.0,['JP'],1,Crunchyroll
678,ts38342,38342,Inukami!,/poster/174708863/{profile},"Inukami are benevolent, dog-like beasts with great spiritual powers that can also take human form. Together with a clan of ""Inukami Users,"" they fight to vanquish evil. One such clan member, Keita Kawahira, is seen as a total loser. He doesn't take his job seriously, flirts with every woman he sees, and can't find a single Inukami willing to form a contract with him. Then, one day, he meets the Inukami ""Yoko."" She is beautiful, fearless, and powerful beyond compare, but also self-centered and uncontrollable.",2006.0,show,,2.252,6.7,109.0,5.3,tt0983967,34808,"[3, 2]",,23.0,['JP'],1,Crunchyroll
679,ts286322,286322,Obey Me!,/poster/250273329/{profile},"Lucifer, Satan, and the other five princes of hell are students at the Royal Academy of Diavolo, where they train to rule the Demon World. From following humans to falling in love, their individual quirks land them in interesting situations every single day! Will their antics get them expelled, or will one of these infamous brothers come out on top?",2021.0,show,,12.075,7.2,45.0,,tt15077804,122371,"[14, 7, 2, 3]",TV-14,8.0,['JP'],2,Crunchyroll
680,ts4204,4204,Dragon Crisis!,/poster/139054018/{profile},"* Based on Kizaki Kaya's fantasy romantic comedy light novel series with illustrations by Akata Itsuki.

Kisaragi Ryuuji is a normal high school boy living a peaceful life, which is turned into an adventure when his second cousin Eriko suddenly returns from overseas. He gets recruited into her organisation, the Seven Tails, in order to help her find artefacts called Lost Precious. Ryuuji and Eriko manage to seize a relic box from a black broker named Fang. Inside the box they find a girl whom Ryuuji names Rose because of the rose like pattern on her left hand. When it turns out that Rose is in fact a Red Dragon, Ryuuji decides to protect her from the black organisation using his powers as a level 10 Breaker.

Note: The first episode received a free online preview at online streaming service GyaO! starting on Thursday, 16th December, 2010 until Wednesday, 22nd December. 1000 lucky participants in possession of a Yahoo Japan ID were given the chance to see it through an online lottery. The regular television broadcast started on January 11, 2011.",2011.0,show,,3.002,5.9,164.0,5.7,tt1868402,38811,"[2, 14, 1, 7, 13]",,23.0,['JP'],1,Crunchyroll
681,ts80088,80088,Gurazeni: Money Pitch,/poster/54174392/{profile},"This is the story of Natsunosuke Honda, a pro baseball player—a relief pitcher who has been playing pro in a team called Spiders for 8 years. The team operates as a highly-stratified society, where the player's performance determines his annual salary. Natsunosuke is one of the highest paid players in the game. He measures how good players are by how much money they make, and he intends to be on top and stay there, and as such is always looking for players to challenge and does everything to insure that he is better than they are.",2018.0,show,,3.423,6.7,12.0,10.0,tt13469436,78470,"[2, 15]",,23.0,['JP'],2,Crunchyroll
682,ts55976,55976,Gakuen Alice,/poster/191789900/{profile},"Mikan Sakura is a normal 10-year-old girl. Optimistic, energetic, and overall a very sweet child, Mikan is the complete opposite of the aloof, intelligent, and somewhat cold-hearted, Hotaru Imai. Despite their glaring differences, the two girls have been best friends for a very long time. So when Hotaru suddenly transfers to Alice Academy, a prestigious school in the city, her best friend is devastated—especially when she hears of the horrible rumors regarding the academy's harsh treatment of students. Beset with worry, Mikan runs away to see her best friend!

Upon her arrival, Mikan learns of ""Alices,"" individuals gifted with various supernatural abilities, and that the school is an institution built by the government to train and protect them. Discovering that she has her own unique powers, Mikan enrolls in the academy, and, after a lot of trouble, finally reunites with Hotaru.",2004.0,show,,6.646,7.2,220.0,6.5,tt1914829,23375,"[3, 2, 10, 7, 13]",TV-PG,25.0,['JP'],1,Crunchyroll
