jw_entity_id,title,type,release_year,seasons
ts66576,Venus Versus Virus,show,2007,1
ts241097,LBX Girls,show,2021,1
ts28899,Save Me! Lollipop,show,2006,1
ts254620,Gekidol,show,2021,1
ts41925,Regalia: The Three Sacred Stars,show,2016,1
ts178443,Blessing of the Campanella,show,2010,1
ts316995,Sureiyâzu Revolution,show,2008,1
ts41551,Time Travel Girl,show,2016,1
ts39908,Kurau Phantom Memory,show,2004,1
ts302594,Fantasia Sango – Realm of Legends,show,2022,1
ts28816,Jyu-Oh-Sei,show,2006,1
ts34732,Jinki: Extend,show,2005,1
ts68885,Moeyo Ken TV,show,2005,1
ts82141,Puzzle & Dragons X,show,2016,1
ts70585,Sasami: Magical Girls Club,show,2006,2
ts218758,Aquarion Logos,show,2015,1
ts56431,Second Generation,show,2003,1
ts221939,Assault Lily: BOUQUET,show,2020,1
ts34102,Red Data Girl,show,2013,1
ts84654,Rinshi!! Ekoda-chan,show,2019,1
ts231804,Actors: Songs Connection,show,2019,1
ts31826,Gad Guard,show,2003,2
ts28946,Strain: Strategic Armored Infantry,show,2006,1
ts28515,Glass Fleet,show,2006,1
ts26212,Sands of Destruction,show,2008,1
ts236832,Magatsu Wahrheit: Zuerst,show,2020,1
ts252020,Scared Rider Xechs,show,2016,1
ts78923,Venus Project: Climax,show,2015,1
ts42597,Magikano,show,2006,1
ts33278,Oh! Edo Rocket,show,2007,1
ts27040,Gunslinger Girl -Il Teatrino-,show,2008,1
ts33418,Good Luck! Ninomiya-kun,show,2007,1
ts37842,Garo: Crimson Moon,show,2015,1
ts17398,dot hack Legend of the Twilight,show,2003,1
ts42373,Cheer Boys!!,show,2016,1
ts3443,Angel Links,show,1999,1
ts35260,Mikagura School Suite,show,2015,1
tm44887,Akira,movie,1988,0
tm842683,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,movie,2020,0
tm139269,Little Nemo: Adventures in Slumberland,movie,1989,0
tm145027,Dragon Ball Z: Dead Zone,movie,1989,0
tm77116,Sword of the Stranger,movie,2007,0
tm89868,Ghost in the Shell 2: Innocence,movie,2004,0
tm12938,Dragon Ball Z: Wrath of the Dragon,movie,1995,0
tm149696,Rurouni Kenshin Part II: Kyoto Inferno,movie,2014,0
tm141589,The Last: Naruto the Movie,movie,2014,0
tm124963,Dragon Ball Z: Super Android 13!,movie,1992,0
tm150149,Dragon Ball Z: The Tree of Might,movie,1990,0
tm124513,Dragon Ball Z: The Return of Cooler,movie,1992,0
tm114898,Dragon Ball: Curse of the Blood Rubies,movie,1986,0
tm149744,Rurouni Kenshin Part III: The Legend Ends,movie,2014,0
tm102396,Trigun: Badlands Rumble,movie,2011,0
tm150162,Dragon Ball Z: The World's Strongest,movie,1990,0
tm185557,Sailor Moon R: The Movie,movie,1993,0
tm10960,Dragon Ball Z: Lord Slug,movie,1991,0
tm29738,Road to Ninja: Naruto the Movie,movie,2012,0
tm167944,Berserk: The Golden Age Arc III - The Advent,movie,2013,0
tm38064,Berserk: The Golden Age Arc II - The Battle for Doldrey,movie,2012,0
tm228824,Ghost in the Shell: The New Movie,movie,2015,0
tm105152,Dragon Ball: The Path to Power,movie,1996,0
tm211646,Attack on Titan II: End of the World,movie,2015,0
tm36614,Mass Effect: Paragon Lost,movie,2012,0
tm135772,Mulan: Rise of a Warrior,movie,2009,0
tm842641,The Stranger by the Shore,movie,2020,0
